0 COMPANY,0 DESCRIPTION,0 JOB LINK,0 JOB TITLE,0 LINK COMPANY,0 PUBLISHED DATE
Symphony Solutions,"What is the project and why should you care?
Symphony Solutions is an international Dutch IT company with offices in Ukraine, Macedonia, Poland, Belgium, the USA, and the Netherlands. We have been on the market for more than 10 years already and preserve unique cultures within all our locations.
At Symphony Solutions we have removed all possible barriers created by the traditional organization and embraced organic principles and a high degree of self-management. We believe this kind of organization is the optimal environment to attract and retain the best talents, fully develop them, and leverage their potential.
If you can develop and execute fact-based analytics from the web and digital channels, as well as fuel our SEO/SEM strategy. If you are agile in spirit and facile with content management systems, you might just love the Symphony Solutions Marketing Team.
You would be a great fit for this position if you:
- At least 3+ years in a role
- English level B2+
- Skills of half-marketer, half-data-analyst-geek who can translate numbers into meaningful insights
- Solid understanding of search engine algorithms and ranking methods
- Experience in SEO & Web analytics tools (Ahrefs, SemRush, Google Analytics, Google Search Console, Google Data Studio, etc.) and knowledge of how to set up the needed dashboards to track traffic acquisition, lead velocity, and keyword rankings
- Ability to complete competitive analysis of other companies within the industry
- Experience in working with Web analytics to provide digestible marketing insights for different teams depending on what input is valuable for them
- Skills in extracting data, compiling reports, creating/optimizing processes for web data management and data analysis
- Deep knowledge about HTML/CSS and technical aspects of SEO, and able to speak the same language with the dev team to ensure all the technical requirements are implemented
- Good reporting skills to present the metrics with insights and action items
- A self-driven approach with a sense of a deadline and ownership
- Excellent written and verbal communication skills (email, phone, etc.)
Is a plus:
- Analytical and problem-solving mindset
- Ability to adapt and shift focus quickly
- Enough drive to take the initiative for tasks and motivated to see projects through
- Experience with other aspects of marketing, such as customer growth and promotion
- Experience in iGaming and Software industries
- Here are all the things you’ll get to do on the project:
- Develop optimization strategies that increase the company’s search engine results rankings
- Regular audits, technical SEO reviews, related issues, recommended fixes, and best practices for improvement
- On-site & Off-site SEO strategies & tactics implementation to support various context mixes and assets that require optimization
- Set measurable goals that demonstrate improvement in marketing efforts
- Monitor daily performance metrics to understand SEO strategy performance
- Perform competitive research
- Collaborate with the in-house dev team on technical and on-page improvements to make sure our website development takes SEO into account in the planning stage, not as an aftermath
- Work with optimizing website content, landing pages, and paid search copy to support integrated digital campaigns
- Identify needed data points, align with company-wide metrics, and build a comprehensive outcomes-based analytics framework to track, justify, and amplify marketing ROI and influence on client’s business
- Analyze data and define success, failure, or possible improvements in the performance of different marketing integrated campaigns and tactics, as well as (helping) translate numbers into insights and action items
- Support other marketing specialists with ad hoc tasks according to the needs of the team and SEO strategy",https://djinni.co/jobs/474394-middle-seo-and-web-analyst/,Middle SEO and Web Analyst,https://djinni.co/jobs/?company=symphony-solutions-1c081,3 November 2022
Don't Panic Recruitment,"You have:
● Fluent communication skills in English and Finnish
● Expert-level knowledge of Google Cloud Platform (AWS and/or Azure is a plus)
● Background as Linux OR Windows system administrator or backend developer would be ideal
● Coding/scripting skills (Bash, Python, etc.)
● Hands-on experience in creating solution architectures, as well as designing and implementing landing zone architectures
● Infrastructure as a Code skill (i.e. CDK, Terraform, Deployment Manager, and similar)
● Experience in building CI/CD pipelines and container technologies (e.g. Docker)
● At least theoretical knowledge of container orchestration technologies (e.g. Kubernetes, Swarm, or OpenShift)
● Willingness to experiment with and learn brand-new technologies (e.g. Anthos)
● Knowledge of on-premises technologies (e.g. VMware, OpenStack, or Hyper-V)
● Knowledge of security, network, virtualization, load balancers, storage, and databases
● Experience or interest in learning more about Big Data / Machine Learning projects is an asset
● An active customer-oriented consultancy mindset and pre-sales attitude are a must All in all, you have a solid engineering or technical background with hands-on experience in conceptualizing, strategizing, and architecting cloud solutions. As you work with customers, solid social skills are a must.
You will get:
● A highly skilled multinational team
● Individual training budget and exam fees for partner certifications (Azure, AWS, GCP) and additional certification bonus covered by Nordcloud
● Access to join and the possibility to create knowledge-sharing sessions within a community of leading cloud professionals
● Flexible working hours and freedom to choose your tools (laptop and smartphone) and ways of working
● Freedom to work fully remotely within the country of Finland
● Local benefits such as extensive private health care and insurance, wellness benefits
You will also:
● Participate in customer projects from new infrastructure builds and migrations to big data
● Be a trusted advisor for high-profile enterprises and jointly manage the customer relationship and roadmap with the Nordcloud Sales team
● See through customer projects from start to release",https://djinni.co/jobs/477929-google-cloud-architect/,Google Cloud Architect,https://djinni.co/jobs/?company=don-t-panic-recruitment-4f656,3 November 2022
PrivatBank,"Оголошується конкурс на вакансію ""Бізнес-аналітик Управління Data science""
Вимоги до кваліфікації кандидата:
● знання математичної статистики та теорії ймовірності;
● вища технічна освіта;
● рівень володіння англійською не нижче pre-intermediate;
● досвід написання технічних завдань;
● навички проведення аналізу даних, показників ефективності команди;
● досвід роботи у фінансовій сфері;
● знання SQL;
● вміння презентувати результати.
В чому буде полягати Ваша робота?
●здійснення комунікації із замовниками, іншими підрозділами;
●розробка технічних завдань для оптимізації процесів пов'язаних із моделювання, контроль дотримання термінів виконання поставлених завдань;
●проведення аналізу відповідності моделі та її опису вимогам, ведення належної технічної та описової документації по моделям та процесами Управління;
●аналіз та надання пропозицій щодо оптимізації процесів пов'язаних із скоринговою інфраструктурою;
●генерація і пошук необхідних даних для вирішення завдань, побудови предикативних моделей, аналіз даних з різних джерел;
●контроль якості (коректності та повноти) і достатності даних, які використовуються у процесі моделювання.",https://djinni.co/jobs/492293-biznes-analitik-upravlinnia-data-science/,Бізнес-аналітик Управління Data science,https://djinni.co/jobs/?company=privatbank-f260c,3 November 2022
iDeus,"Required Skills:
- 2 years of experience building apps with JavaScript with AngularJS;
- Experience with JavaScript (ES6), Typescript;
- Ability to write well-formatted, structured, and clean code that interacts with the back-end;
- English Level: is not important for this project, as you will not be chatting with the clients too much :)
- Some experience with React will be a great plus (as the majority of our projects is done with it).
We offer you:
- Remote work (or work in the Kharkiv office after we’ll win the war);
- Paid vacation of 20 working days;
- Friendly team;
- Decent salary (determined by the results of the interview).",https://djinni.co/jobs/479779-angular-developer/,Angular Developer$1500-2500,https://djinni.co/jobs/?company=ideus-97684,3 November 2022
Deloitte,"Requirements:
Education: Bachelor’s degree (technical)
Work experience: 3+ years
Must be able to write maintainable/scalable/efficient codeStrong expertise in:
Python
AsyncIO
Tornado or FastAPI
Pandas
DockerStrong understanding of:REST APIs principles
Relational databases i.e PostgreSQL / MySQL
NoSql Databases i.e MongoDB
Messaging queues like RabbitMQ / Amazon SQS
Linux operating system
Git version control
CI/CD
Strong unit test and debugging skills
Good verbal and written communication English skills (Upper Intermediate level)
Will be a plus:
Experience with:
Flask
Celery
Spark
SQLAlchemy
PostgreSQL
MongoDB
Kubernetes
AWS (ECS, Lambda, EC2, S3, Athina)
Azure
Personal skills:
Passionate about technology
Eager learner of new technologies and systems
Written, verbal and interpersonal communication skills
Team player attitude",https://djinni.co/jobs/492290-python-for-global-product-audit-and-assurance/,Python for global product (audit and assurance company),https://djinni.co/jobs/?company=deloitte-386b3,3 November 2022
Proxet,"You will work alongside a core team of amazing engineers and systems architects with significant experience across Machine Learning, DevOps, Cybersecurity, and Cryptography. DataMarx’s current engineering team comes from a range of Tier 1 technology companies, including former management at Microsoft, DropBox, Palantir, Facebook, TwoSigma, WolframAlpha, and Goldman Sachs.
SKILLS & EXPERIENCE:
Background in computer science or similar quantitative field;
Experience in Chrome extensions development;
Good knowledge and experience with Typescript/JavaScript, HTML, and CSS;
Experience in React development;
“Get things done” approach;
Startup experience;
Advanced level of written and spoken English.
RESPONSIBILITIES:
Develop new features;
Bug fixing, refactoring, performance measurement, maintenance of corresponding documentation;
Communicate with the client and the team;
Take the initiative in the development process and work atmosphere improvements;
Be proactive in suggesting new visions and approaches to the platform development, and anticipate problems or issues that may arise.",https://djinni.co/jobs/492292-front-end-developer/,Front End Developer,https://djinni.co/jobs/?company=proxet-d6d33,3 November 2022
Ukraine Tech,"What will you do?
• Develop the frontend logic for the new product;
• Work with the API on an regular basis;
• Conduct code reviews;
• Participate in technical discussions to find the right architectural solution;
• Work closely with Backend, Mobile, Design, QA, SEO teams and be part of the Product team;
• Work with the libraries.
What we expect you to?
• Experienced in multiple React-based projects;
• Experienced in SSR (especially Next.js);
• Have very good knowledge of JavaScript;
• Have excellent knowledge of Typescript, react-redux, redux-sagas;
• Experienced in working with SCSS;
• Have knowledge of PWA development (offline mode/service workers, deployment of the application stores);
• Experienced in working with unit tests;
• Have good knowledge of Git and GitLab pipelines.
Will be a plus:
• Experience with React-Native;
• Experience with e2e;
• Experience with Node.js.
The perks
Being a part of the company is a wonderful and rewarding experience. You’ll be in an environment of an incredibly diverse team of smart, kind and motivated colleagues in the most inspiring and collaborative office space in the capital of Ukraine, with access to the best tools and platforms to develop your skills and succeed in your role.
You will receive
• Competitive compensation based on experience and qualifications;
• Career development opportunities;
• Knowledge sharing;
• Private health insurance;
• Paid sick days;
• Corporate events, parties and activities;
• Wellness rewards, including gym memberships;
• Coffee, refreshments, snacks, etc.",https://djinni.co/jobs/492291-front-end-react-developer/,Front-end React Developer,https://djinni.co/jobs/?company=ukraine-tech-34244,3 November 2022
Gunzilla Games,"ABOUT THE JOB
Gunzilla Games is looking for a Senior Gameplay Programmer. The person in this position will help develop and support various gameplay features (e.g. movement, shooting), gameplay entities (e.g. kill zones, rockets, bombs), and AI-related features (e.g. AI-specific weapons, behaviors) for our AAA title as well as collaborate with game designers to design and implement the game features from scratch.
RESPONSIBILITIES
As a Gameplay Programmer, you will:
- Design and develop the core gameplay features and systems for our game
- Work closely with artists and designers to iterate on the gameplay mechanics
- Contribute ideas and feedback toward all aspects of the game
- Maintain and optimize the existing game systems
- Work on AI behaviors and AI-related features
- Document and extend the documentation on the gameplay features and systems
- Self-manage programming tasks and coordinate them with the production team
REQUIREMENTS
- Excellent C++ knowledge with 5+ years of professional experience
- Strong 3D math knowledge (vectors, matrices, Linear Algebra)
- Worked in the game dev industry and shipped game titles
- Can self-manage tasks and complete features from scratch
- Passion for playing and making games
- Strong understanding of software engineering practices
Good understanding of:
- Network programming
- Multithreading and parallel programming
- OS internals (process/thread/memory management)
- How CPUs and GPUs work
- Self-motivated, strong work ethic, and able to work independently
GUNZILLA OFFERS
- Flexible Working & Work from Home
- Health Insurance
- Revenue Based Bonuses
- English / German Courses
- 25 Annual Paid Vacation & Sick Days
- Public Transportation
- Relocation & Accommodation Support
- Office Perks & Gym Membership",https://djinni.co/jobs/478664-senior-gameplay-programmer/,Senior Gameplay Programmerto $5000,https://djinni.co/jobs/?company=gunzilla-games-f3082,3 November 2022
Onseo,"Вимоги:
• Принаймні 3 роки практичного досвіду роботи з
C#
та
.NET
• Досвід роботи з
ASP.NET MVC
,
WCF
та
Web API
• Досвід роботи з
MS SQL
• Сильні навички
OOP/OOD
• Розмовна англійська (середнього рівня і вище)
Буде плюсом:
• Досвід роботи з
.NET Core
, AWS, NHibernate, Elasticsearch
• Досвід роботи з Front-end стеком (Angular, React, HTML/CSS, JavaScript, jQuery)
• Досвід роботи з Azure DevOps, Git
Обов'язки:
• Проектування, розробка та підтримка рішеннь з використанням
.NET Framework
і
.NET Core
• Тісна співпраця з командами системних аналітиків та тестувальників для випуску високоякісного продукту
• Щоденна комунікація з офшорними командами проєкту
• Розробка юніт- та інтеграційних тестів
• 80% Back-end / 20% Front-end
EN
Requirements:
• At least
3
years of hands-on experience with
C#
and
.NET
• Experience with
ASP.NET MVC
,
WCF
та
Web API
• Experience with
MS SQL
• Strong OOP / OOD skills
• Spoken English (Intermediate)
Will be a plus:
• Experience with
.NET Core
, AWS, NHibernate, Elasticsearch
• Experience with front-end stack (Angular, React, HTML/CSS, JavaScript, jQuery)
• Experience with Azure DevOps, Git
Responsibilities:
• Design, develop and maintain solutions using
.NET Framework
and
.NET Core
• Collaborate with System Analytics and QAs to deliver a high-quality product
• Communicate with offshore teams on a daily basis
• Write unit and integration tests
• 80% Back-end / 20% Front-end",https://djinni.co/jobs/440646--net-rozrobnik-net-developer/,.NET Розробник / .NET Developer,https://djinni.co/jobs/?company=onseo-62c5e,3 November 2022
Boosters (by Genesis),"✨✨✨Вітання!✨✨✨
Нумо знайомитися? :)
Ми — продуктова команда Boosters, і ми створюємо продукти, які покращують життя людей і несуть реальну цінність. Зараз у нас є 4 продукти, давай докладно розповім про них:
Promova
— додаток для вивчення іноземних мов (входить у топ-10 мовних додатків у світі)
Avrora
— додаток для покращення сну (топ-5 додатків H&F у понад 82 країнах)
Manifest
— додаток з афірмаціями (більше 22 тисяч репостів наших афірмацій)
RiseSpace
— платформа з лайф коучами, це наш новий напрямок (реліз був у грудні 2021)
Наша головна перевага — це люди. Люди, які націлені на те, щоб бути кращими за себе вчорашнього і перемагати разом. Наразі у нас в команді вже 75 людей, і ми не плануємо зупинятися.
Зараз ми шукаємо
PPC-specialist-a (Google Ads)
який(а) створить ефективну стратегію залучення користувачів за допомогю Google Ads для продуктів well-being екосистеми RiseSpace (RiseSpace, Avrora, Manifest) в рамках поставлених бізнес-цілей.
У тебе будуть такі завдання:
- Планування та реалізація стратегії залучення користувачів за допомогю Google Ads
- Генерація ідей для нових тестів, A/B тестування
- Моніторінг ефективності роботи кампаній, оптимізація їх показників ефективності
Необхідні навички:
- 2+ роки досвіду роботи з залученням користувачів за допомогою Google Search / Google UAC з великими бюджетами
- Досвід з налаштування аналітики та роботи з кастомними репортами (Google Analytics, Firebase)
- Досвід роботи з Tableau, Amplitude
- Досвід проведення A/B тестування, аналізу його результатів
- Знання англійської на рівні не нижче Upper-Intermediate
Буде перевагою, якщо ти:
- Знаєш інші іноземні мови
- Знаєш останні тренди digital маркетингу
- Маєш досвід роботи на Tier 1 ринках (US, AU, CA)
- Маєш досвід з просуванням мобільних додатків
Що ми пропонуємо?
- Роботу в команді професіоналів та з аудиторією більше одного мільйону в місяць
- Філософію та умови для твого постійного росту та розвитку
- Великий простір для втілення власних ідей і впливу на продукт
Також, ми пропонуємо такі бенефіти:
- Корпоративний лікар та медичне страхування
- Допомога з релокейтом для співробітника та сім’ї
- Компенсація додаткового навчання на зовнішніх тренінгах і семінарах та Business і Management School для співробітників
- Велика електронна бібліотека та доступ до платних онлайн-курсів і конференцій, внутрішні бесіди і воркшопи, курси англійської
Last but not least:
- Буде можливість самостійно побудувати стратегії залучення користувачів за допомогою Google — повністю продумуваати стратегію та реалізувати ії на практиці, проводити безліч тестів з максимальним рівнем автономності
- Можливість росту: до Google Media Buying Team Lead
- Процес інтервʼю: Pre-screen (30 хвилин) ➡️ Тестове завдання ➡️ Інтервʼю з СМО (1,5 години) ➡️ Bar-raising (1,5 години)
Залишай своє резюме і приєднуйся до Boosters!",https://djinni.co/jobs/465270-ppc-specialist-google-zzz-/,PPC-specialist (Google Ads),https://djinni.co/jobs/?company=gen-tech2-427ee,3 November 2022
Devoted Studios,"Requirements:
From 3 years of experience in the position of Financial Director, Deputy Financial Director;
Knowledge and practical experience in accounting, financial, tax, and management accounting;
Practical experience in foreign economic activity;
Knowledge of international financial standards, reporting (o/r with US financial reporting - plus)
Ability to develop, implement and optimise business processes;
Proven experience in the creation, implementation, and optimisation of business processes
Upper-intermediate level of English
Main Responsibilities:
1. Control and formation of a package of monthly management reports for owners (BS, PL, CF);
2. Building a system of financial planning and budgeting and fin. control;
3. Organization of the process of analyzing the effectiveness of the company as a whole and individual projects together with the production lead and analysis
4. Control of accounting and tax accounting and reporting of legal entities in the USA, Estonia by the requirements of the law (including communication with external consultants);
5. Automation of budgeting, accounting, and analysis processes;
company cash flow management.
6. Team management",https://djinni.co/jobs/475963-cfo-financial-lead/,CFO/ Financial Lead,https://djinni.co/jobs/?company=devoted-studios-694fa,3 November 2022
Sunsoft,"Requirements:
- Experience of at least three years as a Graphic Designer;
- Advanced knowledge of Photoshop, Illustrator, and Figma;
- Knowledge of composition, color correction, and the ability to make good-looking design;
- Accuracy and a focus on details;
- Creative thinking, the ability to come up with ideas and put them into action;
- Having a portfolio on hand.
Responsibilities:
- Creation of art for the existing project: banners, icons, promo for social networks creation of email templates;
- Refinement of existing creatives for the project;
- Development of new art concepts and general style of the project;
- Implementation of your ideas to improve the creatives for the project.
___________________________________________________________
Вимоги:
- Досвід не менше 3 років на посаді графічного дизайнера;
- Розширене знання Photoshop, Illustrator та Figma;
- Знання композиції, корекції кольору та вміння зробити гарний дизайн;
- Точність і увага до деталей;
- Креативне мислення, вміння висувати ідеї та втілювати їх у життя;
- Мати під рукою портфоліо.
Обов'язки:
- Створення арту для існуючого проекту: банери, іконки, промо для соціальних мереж створення шаблонів листів;
- Доопрацювання наявних креативів для проекту;
- Розробка нових арт-концепцій та загального стилю проекту;
- Реалізація ваших ідей для покращення креативу для проекту.",https://djinni.co/jobs/492288-graphic-designer/,Graphic Designer,https://djinni.co/jobs/?company=sunsoft-bf0a6,3 November 2022
CHI Software,"The CHI Software team is not standing still. We love our job and give it one hundred percent of us! Every new project is a challenge that we face successfully. The only thing that can stop us is… Wait, it’s nothing! The number of projects is growing, and with them, our team too. And now we need Middle/Senior AQA (Python).
Requirements:
—  QA experience in web app testing (automation and manual);
—  Knowledge of Python;
—  Experience in Selenium;
—  Basic knowledge of CI/CD pipelines;
—  Intermediate+ English level;
—  Experience in Linux-based SW testing is a huge plus;
—  Experience in AWS (Lambda, S3, DynamoDB) is a huge plus.
Responsibilities:
—  Create and maintain the test cases/test plans;
—  Provide automated and manual testing of software releases (including API and web testing);
—  Assist in the development of test infrastructure;
—  Collaborate with other team members and stakeholders by Scrum methodology.
Project: this is a vending machine for different kinds of goods.
The goal is: to make a full cycle development – cloud on Python and AWS; front-end – a couple of portals on Angular selling statistics (of selling those goods) and devices/ infrastructure management; device part – which contains 3 parts: vending machine itself; screen with targeted advertisement; AI ML camera.
Back end: Python; Lambdas, Lambda layers, DynamoDB, API Gateway, SNS queues, CloudWatch, EventBridge, serverless deployment.
IoT Core – MQTT; Front end: Angular, Typescript, Node.js, Rxj.
With us you can:
Develop your technical knowledge:
— Use latest technologies;
— Participate in technical events and conferences (the cost is covered by the company);
— Regular techtalks and professional development.
Improve your soft skills:
— Build strong teamwork skills and become an essential part of the dynamic teams;
— Improve your English at classes and speaking directly with clients;
— Increase your productivity and communication level via Scrum, Kanban, Agile methodologies.
What else do we offer?
— Competitive compensation and benefits;
— Flexible and negotiable schedule;
— Nice and comfortable office located near metro station;
— Covered rest period (20 business days);
— Free English classes (we have 4 teachers in our team);
— Break area with Xbox, air hockey, ping-pong and table soccer
— Truly friendly atmosphere and unforgettable events;
— Bookcrossing;
— Basketball and ping-pong teams;
— Discounts offered by individual bonus cards (our partners are coffee shops, bars).",https://djinni.co/jobs/310554-middle-senior-aqa-python-/,Middle/Senior AQA (Python),https://djinni.co/jobs/?company=chi-software-b41ce,3 November 2022
CHI Software,"We are looking for a detail-oriented Test Automation Engineers for different levels, including senior, with creative thinking; those, who are ready to challenge themselves in a process of providing new testing solutions.
Professional skills and qualification:
Ability to properly in details define Test Cases after specification review;
Ability to create/update manual Test Cases and perform qualitative manual testing;
Ability to create/update automated (FIT, XML) Test Cases based on the defined ones. Knowledge of SQL;
Ability to perform load and performance testing, including test plans creation/update/results analysis (JMeter);
Strong analytical skills and ability to qualitatively review specifications and clarify uncertain questions with Business Analysts;
Work organization and reporting skills;
Team player with good analytical and communication skills;
Good level in English reading/speaking/writing.
Additional sills and qualification required for the higher position:
Experience in web application testing;
Experience with automated testing tools and frameworks (for example: Selenium, REST Assured);
Knowledge of any OOP language;
Understanding of testing principles, practices and processes, good knowledge of SDLC;
Autonomous and independent work.
As  an advantage:
Azure cloud services usage experience;
Experience with Test Case and Requirements Management tools;
Knowledge of and experience in non-functional testing;
ISTQB certificate.
Responsibilities (may vary depending on title level):
Analyze product requirements, develop/maintain tests including reusable test scripts;
Run test scripts and analyze/report results, incl. automated and manual testing (80/20);
Follow good development practices creating new test solutions;
Use test administration/management/monitoring tools as required.",https://djinni.co/jobs/479635-senior-test-automation-engineers-java-python-/,Senior Test Automation Engineers (Java/Python),https://djinni.co/jobs/?company=chi-software-b41ce,3 November 2022
VARTEQ Inc.,"REQUIREMENTS:
- 1+ years of experience in IT Recruitment
- Hands-on interviewing experience
- Technical expertise with an ability to understand and explain job requirements for IT roles
- Familiarity with Applicant Tracking Systems and resume databases
- Solid knowledge of sourcing techniques (social media recruiting and Boolean search)
- Excellent verbal and written communication skills
- At least Upper-Intermediate level of English (B2-C1)
- Sense of initiative, attention to details and good communication skills
RESPONSIBILITIES:
- Full life-cycle of recruiting for open positions
- Write and post technical job descriptions
- Perform pre-screening calls to analyze applicants' abilities
- Coordinate with Interviews with technical interviewers, collect feedback
WE OFFER:
- Remote or coworking (paid by company)
- Competitive motivation scheme based on your performance
- 20 working days of paid vacation compensation
- Free English classes",https://djinni.co/jobs/274254-it-recruiter/,IT Recruiter,https://djinni.co/jobs/?company=varteq-team-aada8,3 November 2022
